"sender_id","receiver_id","sending_date"
181,972,1778-09-04
190,422,1778-09-05
141,568,1778-09-05
143,57,1778-09-06
89,974,1778-09-07
73,425,1778-09-08
143,976,1778-09-08
89,25,1778-09-08
141,945,1778-09-10
141,282,1778-09-10
141,282,1778-09-15
17,267,1778-09-16
133,705,1778-09-17
143,951,1778-09-19
13,154,1778-09-21
178,238,1778-09-22
141,21,1778-09-23
89,360,1778-10-01
141,983,1778-10-03
156,48,1778-10-04
153,934,1778-10-05
195,2,1778-10-06
141,918,1778-10-06
10,422,1778-10-06
142,170,1778-10-09
13,443,1778-10-11
100,9,1778-10-13
24,422,1778-10-15
13,852,1778-10-16
13,690,1778-10-17
13,443,1778-10-17
13,443,1778-10-20
143,989,1778-10-20
143,89,1778-10-20
10,990,1778-10-20
174,706,1778-10-25
143,21,1778-10-26
73,63,1778-10-27
10,422,1778-10-27
10,994,1778-10-31
13,690,1778-11-01
141,9,1778-11-01
13,443,1778-11-03
17,995,1778-11-03
113,840,1778-11-07
111,443,1778-11-08
24,422,1778-11-10
87,720,1778-11-11
87,676,1778-11-11
141,21,1778-11-20
113,619,1778-11-20
141,1002,1778-11-21
141,125,1778-11-23
156,48,1778-11-24
111,799,1778-11-28
13,799,1778-12-01
197,587,1778-12-01
70,57,1778-12-01
142,836,1778-12-04
13,1006,1778-12-05
10,131,1778-12-08
180,263,1778-12-09
76,267,1778-12-10
141,103,1778-12-11
110,425,1778-12-14
76,17,1778-12-15
110,598,1778-12-15
141,918,1778-12-16
144,48,1778-12-20
13,460,1778-12-21
88,48,1778-12-22
13,411,1778-12-25
13,615,1778-12-25
100,1007,1778-12-30
13,615,1779-01-03
25,57,1779-01-03
25,102,1779-01-03
110,73,1779-01-03
24,422,1779-01-04
110,598,1779-01-04
89,1007,1779-01-07
110,598,1779-01-09
141,89,1779-01-10
89,141,1779-01-11
199,48,1779-01-12
44,666,1779-01-20
110,63,1779-01-20
143,102,1779-01-21
197,1021,1779-01-26
87,174,1779-01-28
141,918,1779-01-29
172,435,1779-01-30
197,1009,1779-02-03
70,57,1779-02-03
110,73,1779-02-07
110,63,1779-02-09
113,1025,1779-02-10
13,443,1779-02-11
17,267,1779-02-11
181,1026,1779-02-13
110,63,1779-02-16
105,473,1779-02-18
110,73,1779-02-18
20,57,1779-02-19
25,57,1779-02-20
143,57,1779-02-20
70,252,1779-02-20
13,615,1779-02-21
196,532,1779-02-21
20,1033,1779-02-27
143,983,1779-02-27
110,73,1779-02-28
20,57,1779-03-01
74,934,1779-03-02
143,939,1779-03-04
110,73,1779-03-07
13,1036,1779-03-09
142,403,1779-03-09
126,840,1779-03-09
74,934,1779-03-09
196,1007,1779-03-09
20,720,1779-03-12
17,1039,1779-03-16
25,57,1779-03-21
20,54,1779-03-21
71,174,1779-03-21
13,477,1779-03-23
13,443,1779-03-23
124,738,1779-03-23
110,73,1779-03-23
110,73,1779-03-28
17,532,1779-03-29
110,63,1779-03-29
124,5,1779-03-30
70,1041,1779-03-31
88,48,1779-04-02
206,433,1779-04-03
141,48,1779-04-04
141,181,1779-04-04
141,1044,1779-04-04
17,576,1779-04-04
142,433,1779-04-05
74,934,1779-04-06
143,174,1779-04-09
141,80,1779-04-09
110,63,1779-04-13
113,308,1779-04-15
141,845,1779-04-16
110,598,1779-04-16
20,799,1779-04-18
20,21,1779-04-21
143,896,1779-04-22
17,7,1779-04-24
143,174,1779-04-25
87,21,1779-04-28
13,615,1779-04-29
141,845,1779-05-02
17,2,1779-05-03
208,435,1779-05-09
31,9,1779-05-10
210,2,1779-05-10
13,443,1779-05-11
49,435,1779-05-11
25,21,1779-05-17
33,436,1779-05-17
88,48,1779-05-20
110,73,1779-05-21
210,2,1779-05-22
17,267,1779-05-23
20,947,1779-05-24
110,63,1779-05-24
124,934,1779-05-25
25,459,1779-05-26
208,154,1779-05-26
25,947,1779-05-29
142,433,1779-06-01
25,57,1779-06-02
113,578,1779-06-02
142,403,1779-06-05
208,435,1779-06-08
142,433,1779-06-09
25,57,1779-06-12
113,1055,1779-06-12
110,63,1779-06-12
204,89,1779-06-13
25,57,1779-06-14
25,54,1779-06-15
142,443,1779-06-15
179,17,1779-06-15
208,1057,1779-06-20
110,73,1779-06-20
210,2,1779-06-22
211,17,1779-06-22
206,21,1779-06-25
25,57,1779-06-30
213,73,1779-07-02
165,1060,1779-07-02
110,73,1779-07-03
212,1062,1779-07-05
141,80,1779-07-05
143,567,1779-07-09
165,806,1779-07-09
110,1066,1779-07-09
110,73,1779-07-12
210,2,1779-07-13
195,2,1779-07-13
200,522,1779-07-13
142,443,1779-07-13
74,934,1779-07-13
20,720,1779-07-14
141,433,1779-07-14
88,48,1779-07-15
142,13,1779-07-16
142,17,1779-07-17
113,47,1779-07-19
213,425,1779-07-20
31,255,1779-07-22
103,384,1779-07-22
143,1069,1779-07-24
110,63,1779-07-26
142,13,1779-07-27
110,73,1779-07-27
142,17,1779-07-31
210,2,1779-08-10
69,1073,1779-08-10
142,13,1779-08-12
142,443,1779-08-13
20,720,1779-08-14
142,17,1779-08-17
213,73,1779-08-17
20,57,1779-08-18
113,308,1779-08-20
217,422,1779-08-23
111,7,1779-08-24
153,433,1779-08-24
217,426,1779-08-24
141,1081,1779-09-01
20,57,1779-09-02
87,9,1779-09-03
143,1007,1779-09-04
220,1083,1779-09-05
71,1081,1779-09-06
213,73,1779-09-07
217,384,1779-09-09
156,48,1779-09-14
20,57,1779-09-16
142,267,1779-09-17
35,144,1779-09-20
175,1087,1779-09-21
141,845,1779-09-21
142,7,1779-09-21
178,238,1779-09-21
71,303,1779-09-22
24,422,1779-09-25
20,57,1779-09-25
141,845,1779-09-27
142,7,1779-09-27
142,17,1779-09-27
153,433,1779-09-27
142,7,1779-09-28
74,934,1779-09-28
111,7,1779-09-29
142,13,1779-09-29
142,433,1779-09-30
142,7,1779-10-01
225,89,1779-10-02
141,7,1779-10-04
225,1091,1779-10-05
20,57,1779-10-05
20,57,1779-10-07
