Id,Names,Nationality/State,Position held,Occupation,Year born,Year deceased,Gender,Other memberships,URL References
161,"Dayton, Elias",New Jersey,General,Military; Merchant,1737,1807,M, ,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51243.xml
166,"Malcom, William",New York,General; State Representative,Military; Merchant; Politician; Militia,1745,1791,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55138.xml
167,"Scott, Charles",Virginia,General,Military; Artisan,1739,1813,M, ,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57823.xml
169,"Bland, Theodorick",Virginia,Colonel,Military; Physician; Planter,1741,1790,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=49248.xml
170,"Morgan, Daniel",Virginia,General,Military; Planter,1735,1802,M,Society of the Cincinnati,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55884.xml
171,"Wayne, Anthony",Pennsylvania,General; State Representative,Military; Politician; Surveyor; Artisan,1745,1796,M,American Philosophical Society; Society of the Cincinnati,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59744.xml
172,"Boudinot, Elias",New Jersey,Delegate Continental Congress; President Continental Congress; Acting Secretary for Foreign Affairs; Commissary general of prisoners,Politician; Attorney at Law; Statesman,1740,1821,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=49369.xml
173,"Morris, Gouverneur",New York,Delegate Continental Congress; State Representative; State superintendent of finance,Politician; Attorney at Law,1752,1816,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55919.xml
175,"Thomson, Charles",Pennsylvania,Secretary of the Continental Congress,Secretary; Merchant,1729,1824,M,Sons of Liberty,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58959.xml
178,"Nelson, Thomas",Virginia,Delegate Continental Congress; State Representative; State President/Governor; Militia General,Statesman; Politician; Military; Militia,1738,1789,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56155.xml
180,"Smith, Samuel",Maryland,Lieutenant Colonel; Militia General,Military; Merchant; Militia,1752,1839,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58249.xml
183,"Grayson, William",Virginia,Colonel; Board of War; Aide-de-camp,Military; Attorney at Law,1736,1790,M,American Philosophical Society,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52730.xml
185,"Pettit, Charles",New Jersey; Pennsylvania,Assistant quartermaster general; State secretary of state,Military; Attorney at Law,1736,1806,M,American Philosophical Society,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56770.xml
188,"Wadsworth, Jeremiah",Connecticut,Deputy commissary general of purchases; Commissary general of the army; Commissary for the French forces in America,Military; Merchant; Agent,1743,1804,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59454.xml
189,"Duane, James",New York,Delegate Continental Congress; State Representative,Politician; Attorney at Law,1733,1797,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51535.xml
191,"Létombe, Philippe André Joseph de",France,Consul,Diplomat,1738,1833,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54658.xml
193,"Mitchell, John",Pennsylvania,Colonel; Deputy quartermaster general; Mustermaster ,Military; Merchant,1741,1816,M,Freemasons,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55749.xml
194,"Wood, James",Virginia,Colonel,Military,1741,1813,M, ,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=60229.xml
195,"Stirling, Lord (né William Alexander)",New Jersey,General,Military,1726,1783,M,American Philosophical Society,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48376.xml
196,"Dumas, Charles William Frederic",Dutch Republic,Agent in the Dutch Republic,Agent; Translator,1721,1796,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51588.xml
198,"Hazard, Ebenezer",Pennsylvania,United States Postmaster General; Surveyor of the post roads,Statesman; Merchant; Surveyor,1744,1817,M,American Philosophical Society; American Academy of Arts and Sciences ,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53260.xml
200,"Peters, Richard",Pennsylvania,Board of War; Delegate Continental Congress; State Representative; Register of admiralty,Attorney at Law; Politician; Military; Secretary; Farmer,1744,1828,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56757.xml
201,"Dana, Francis",Massachusetts,Delegate Continental Congress; Minister to Russia; Secretary to the diplomatic delegation in Paris,Politician; Diplomat; Attorney at Law; Secretary,1743,1811,M,Sons of Liberty; American Academy of Arts and Sciences,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51093.xml
202,"Stevens, Edward",Virginia,Militia General; State Representative,Military; Politician,1745,1820,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58510.xml
203,"Chaumont, Jacques Donatien, Leray de",France,,,1726,1803,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=346191.xml
204,"Gérard, Conrad Alexandre",France,Minister to the United States,Diplomat,1729,1790,M, ,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52444.xml
206,"Lee, Henry",Virginia,Lieutenant Colonel,Military,1756,1818,M,Society of the Cincinnati; Freemasons,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54557.xml
207,"Tilghman, Tench",Maryland,Lieutenant Colonel; Aide-de-camp,Military; Merchant,1744,1786,M, ,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59016.xml
209,"McIntosh, Lachlan",Georgia,General,Military; Planter; Merchant,1725,1806,M,Society of the Cincinnati,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55482.xml
210,"Neufville, Jean [de]",Dutch Republic,Agent in the Dutch Republic,Banker; Agent,1729,1796,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56168.xml
213,"Pendleton, Edmund",Virginia,State President/Governor; Delegate Continental Congress; State Representative,Statesman; Planter; Attorney at Law; Politician,1721,1803,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56683.xml
